Date,High,Low
2022-01-03,115.3725,114.9475
2022-01-04,116.3545,115.2925
2022-01-05,116.2435,115.6215
2022-01-06,116.1865,115.6245
2022-01-07,116.0485,115.523
2022-01-10,115.852,115.042
2022-01-11,115.6825,115.1245
2022-01-12,115.4805,114.38
2022-01-13,114.705,114.0005
2022-01-14,114.2675,113.4815
2022-01-17,114.6515,114.17
2022-01-18,115.0605,114.45
2022-01-19,114.7895,114.206
2022-01-20,114.548,113.9635
2022-01-21,114.2335,113.604
2022-01-24,113.9995,113.4685
2022-01-25,114.157,113.67
2022-01-26,114.6945,113.778
2022-01-27,115.4905,114.475
2022-01-28,115.6865,115.123
2022-01-31,115.5925,114.924
2022-02-01,115.1945,114.566
2022-02-02,114.8035,114.158
2022-02-03,114.975,114.328
2022-02-04,115.4315,114.7745
2022-02-07,115.3785,114.9145
2022-02-08,115.628,115.055
2022-02-09,115.688,115.3225
2022-02-10,116.3395,115.483
2022-02-11,116.176,115.0125
2022-02-14,115.748,115.011
2022-02-15,115.8765,115.2575
2022-02-16,115.7915,115.356
2022-02-17,115.5385,114.8455
2022-02-18,115.299,114.7865
2022-02-21,115.126,114.7475
2022-02-22,115.2435,114.5005
2022-02-23,115.2005,114.9265
2022-02-24,115.696,114.4085
2022-02-25,115.7615,115.1485
2022-02-28,115.8975,114.8615
2022-03-01,115.2915,114.699
2022-03-02,115.688,114.7925
2022-03-03,115.808,115.3845
2022-03-04,115.5585,114.6505
2022-03-07,115.473,114.8235
2022-03-08,115.7915,115.2405
2022-03-09,115.9435,115.5565
2022-03-10,116.1965,115.803
2022-03-11,117.3575,116.108
2022-03-14,118.2195,117.2975
2022-03-15,118.4505,117.6975
2022-03-16,119.1245,118.1755
2022-03-17,119.027,118.3685
2022-03-18,119.3995,118.4715
2022-03-21,119.4995,119.0975
2022-03-22,121.033,119.4375
2022-03-23,121.4195,120.5935
2022-03-24,122.411,120.954
2022-03-25,122.4365,121.1805
2022-03-28,125.1065,122.0125
2022-03-29,124.307,121.9785
2022-03-30,123.207,121.313
2022-03-31,122.457,121.2815
2022-04-01,123.0385,121.681
2022-04-04,122.9595,122.266
2022-04-05,123.672,122.373
2022-04-06,124.053,123.456
2022-04-07,124.003,123.4705
2022-04-08,124.6785,123.6675
2022-04-11,125.7725,124.1275
2022-04-12,125.759,124.764
2022-04-13,126.319,125.349
2022-04-14,126.017,125.0835
2022-04-15,126.6845,125.8805
2022-04-18,126.9995,126.24
2022-04-19,128.976,126.987
2022-04-20,129.4085,127.459
2022-04-21,128.7075,127.8035
2022-04-22,129.112,127.7375
2022-04-25,128.8705,127.523
2022-04-26,128.228,127.0245
2022-04-27,128.593,126.95
2022-04-28,131.2565,128.3405
2022-04-29,130.954,129.316
2022-05-02,130.4805,129.613
2022-05-03,130.293,129.6985
2022-05-04,130.387,128.622
2022-05-05,130.5595,128.7545
2022-05-06,130.809,130.095
2022-05-09,131.348,130.1145
2022-05-10,130.5785,129.7955
2022-05-11,130.8135,129.444
2022-05-12,130.057,127.5195
2022-05-13,129.455,128.348
2022-05-16,129.641,128.7005
2022-05-17,129.7835,128.83
2022-05-18,129.5385,128.0095
2022-05-19,128.947,127.0255
2022-05-20,128.2985,127.53
2022-05-23,128.059,127.1525
2022-05-24,128.0885,126.3605
2022-05-25,127.497,126.655
2022-05-26,127.584,126.5525
2022-05-27,127.2595,126.678
2022-05-30,127.828,126.8595
2022-05-31,128.892,127.5295
2022-06-01,130.1895,128.6475
2022-06-02,130.2415,129.511
2022-06-03,130.9825,129.685
2022-06-06,132.013,130.433
2022-06-07,132.999,131.8735
2022-06-08,134.4765,132.597
2022-06-09,134.5595,133.1855
2022-06-10,134.4845,133.364
2022-06-13,135.1995,133.5935
2022-06-14,135.4785,133.873
2022-06-15,135.5925,133.5075
2022-06-16,134.68,131.4935
2022-06-17,135.4265,132.17
2022-06-20,135.445,134.5325
2022-06-21,136.71,134.922
2022-06-22,136.7145,135.6825
2022-06-23,136.2275,134.266
2022-06-24,135.3995,134.3515
2022-06-27,135.552,134.522
2022-06-28,136.385,135.111
2022-06-29,137.0045,135.773
2022-06-30,136.812,135.551
2022-07-01,135.988,134.7435
2022-07-04,135.7745,134.7835
2022-07-05,136.3645,135.515
2022-07-06,136.0085,134.9485
2022-07-07,136.224,135.5485
2022-07-08,136.567,135.3285
2022-07-11,137.7535,136.0365
2022-07-12,137.535,136.475
2022-07-13,137.8685,136.693
2022-07-14,139.392,137.3335
2022-07-15,139.1305,138.385
2022-07-18,138.5755,137.89
2022-07-19,138.3925,137.3815
2022-07-20,138.378,137.904
2022-07-21,138.8785,137.3
2022-07-22,137.9565,135.5665
2022-07-25,136.7895,135.8915
2022-07-26,136.973,136.2745
2022-07-27,137.4665,136.324
2022-07-28,136.6055,134.201
2022-07-29,134.677,132.5045
2022-08-01,133.5615,131.602
2022-08-02,133.181,130.394
2022-08-03,134.552,132.2865
2022-08-04,134.4245,132.764
2022-08-05,135.505,132.5205
2022-08-08,135.586,134.351
2022-08-09,135.2035,134.668
2022-08-10,135.305,132.029
2022-08-11,133.3135,131.735
2022-08-12,133.895,132.884
2022-08-15,133.597,132.555
2022-08-16,134.6865,132.952
2022-08-17,135.501,133.907
2022-08-18,135.903,134.648
2022-08-19,137.2285,135.7175
2022-08-22,137.653,136.6965
2022-08-23,137.7125,135.808
2022-08-24,137.246,136.1725
2022-08-25,137.202,136.317
2022-08-26,137.7455,136.1895
2022-08-29,139.003,137.5675
2022-08-30,139.0805,138.0535
2022-08-31,139.0065,138.2725
2022-09-01,140.2295,138.956
2022-09-02,140.8025,139.871
2022-09-05,140.663,140.1195
2022-09-06,143.079,140.249
2022-09-07,144.9945,142.719
2022-09-08,144.562,143.319
2022-09-09,144.124,141.5035
2022-09-12,143.4965,142.1395
2022-09-13,144.6875,141.622
2022-09-14,144.967,142.5505
2022-09-15,143.803,142.797
2022-09-16,143.695,142.8285
2022-09-19,143.647,142.643
2022-09-20,143.9245,142.933
2022-09-21,144.704,143.3415
2022-09-22,145.904,140.351
2022-09-23,143.463,141.763
2022-09-26,144.7895,143.247
2022-09-27,144.904,144.061
2022-09-28,144.8735,143.9085
2022-09-29,144.815,144.065
2022-09-30,144.812,144.203
2022-10-03,145.322,144.156
2022-10-04,144.9355,143.8915
2022-10-05,144.848,143.526
2022-10-06,145.1435,144.387
2022-10-07,145.444,144.6035
2022-10-10,145.807,145.236
