Date,High,Low,High_5,Low_5,High_25,Low_25,High_75,Low_75
2022-01-03,115.3725,114.9475,,,,,,
2022-01-04,116.3545,115.2925,,,,,,
2022-01-05,116.2435,115.6215,,,,,,
2022-01-06,116.1865,115.6245,,,,,,
2022-01-07,116.0485,115.523,116.0411,115.4018,,,,
2022-01-10,115.852,115.042,116.137,115.4207,,,,
2022-01-11,115.6825,115.1245,116.0026,115.3871,,,,
2022-01-12,115.4805,114.38,115.85,115.1388,,,,
2022-01-13,114.705,114.0005,115.5537,114.814,,,,
2022-01-14,114.2675,113.4815,115.1975,114.4057,,,,
2022-01-17,114.6515,114.17,114.9574,114.2313,,,,
2022-01-18,115.0605,114.45,114.833,114.0964,,,,
2022-01-19,114.7895,114.206,114.6948,114.0616,,,,
2022-01-20,114.548,113.9635,114.6634,114.0542,,,,
2022-01-21,114.2335,113.604,114.6566,114.0787,,,,
2022-01-24,113.9995,113.4685,114.5262,113.9384,,,,
2022-01-25,114.157,113.67,114.3455,113.7824,,,,
2022-01-26,114.6945,113.778,114.3265,113.6968,,,,
2022-01-27,115.4905,114.475,114.515,113.7991,,,,
2022-01-28,115.6865,115.123,114.8056,114.1029,,,,
2022-01-31,115.5925,114.924,115.1242,114.394,,,,
2022-02-01,115.1945,114.566,115.3317,114.5732,,,,
2022-02-02,114.8035,114.158,115.3535,114.6492,,,,
2022-02-03,114.975,114.328,115.2504,114.6198,,,,
2022-02-04,115.4315,114.7745,115.1994,114.5501,115.18,114.5078,,
2022-02-07,115.3785,114.9145,115.1566,114.5482,115.1803,114.5065,,
2022-02-08,115.628,115.055,115.2433,114.646,115.1512,114.497,,
2022-02-09,115.688,115.3225,115.4202,114.8789,115.129,114.4851,,
2022-02-10,116.3395,115.483,115.6931,115.1099,115.1351,114.4794,,
2022-02-11,116.176,115.0125,115.842,115.1575,115.1402,114.459,,
2022-02-14,115.748,115.011,115.9159,115.1768,115.1361,114.4577,,
2022-02-15,115.8765,115.2575,115.9656,115.2173,115.1438,114.4631,,
2022-02-16,115.7915,115.356,115.9863,115.224,115.1563,114.5021,,
2022-02-17,115.5385,114.8455,115.8261,115.0965,115.1896,114.5359,,
2022-02-18,115.299,114.7865,115.6507,115.0513,115.2309,114.5881,,
2022-02-21,115.126,114.7475,115.5263,114.9986,115.2498,114.6112,,
2022-02-22,115.2435,114.5005,115.3997,114.8472,115.2572,114.6132,,
2022-02-23,115.2005,114.9265,115.2815,114.7613,115.2736,114.642,,
2022-02-24,115.696,114.4085,115.313,114.6739,115.3195,114.6598,,
2022-02-25,115.7615,115.1485,115.4055,114.7463,115.3806,114.7216,,
2022-02-28,115.8975,114.8615,115.5598,114.7691,115.4566,114.7773,,
2022-03-01,115.2915,114.699,115.5694,114.8088,115.5019,114.8185,,
2022-03-02,115.688,114.7925,115.6669,114.782,115.5417,114.8591,,
2022-03-03,115.808,115.3845,115.6893,114.9772,115.5544,114.8955,,
2022-03-04,115.5585,114.6505,115.6487,114.8776,115.5493,114.8766,,
2022-03-07,115.473,114.8235,115.5638,114.87,115.5445,114.8725,,
2022-03-08,115.7915,115.2405,115.6638,114.9783,115.5684,114.8995,,
2022-03-09,115.9435,115.5565,115.7149,115.1311,115.614,114.9555,,
2022-03-10,116.1965,115.803,115.7926,115.2148,115.6628,115.0145,,
2022-03-11,117.3575,116.108,116.1524,115.5063,115.7399,115.0678,,
2022-03-14,118.2195,117.2975,116.7017,116.0011,115.8535,115.1631,,
2022-03-15,118.4505,117.6975,117.2335,116.4925,115.9664,115.2688,,
2022-03-16,119.1245,118.1755,117.8697,117.0163,116.1039,115.3829,,
2022-03-17,119.027,118.3685,118.4358,117.5294,116.2114,115.4984,,
2022-03-18,119.3995,118.4715,118.8442,118.0021,116.3403,115.6367,,
2022-03-21,119.4995,119.0975,119.1002,118.3621,116.4904,115.8002,,
2022-03-22,121.033,119.4375,119.6167,118.7101,116.6966,115.9674,,
2022-03-23,121.4195,120.5935,120.0757,119.1937,116.9217,116.1769,,
2022-03-24,122.411,120.954,120.7525,119.7108,117.1966,116.4212,,
2022-03-25,122.4365,121.1805,121.3599,120.2526,117.4821,116.677,,
2022-03-28,125.1065,122.0125,122.4813,120.8356,117.8814,116.9676,,
2022-03-29,124.307,121.9785,123.1361,121.3438,118.2439,117.2667,,
2022-03-30,123.207,121.313,123.4936,121.4877,118.5642,117.5222,,
2022-03-31,122.457,121.2815,123.5028,121.5532,118.8346,117.7971,,
2022-04-01,123.0385,121.681,123.6232,121.6533,119.1257,118.0584,,
2022-04-04,122.9595,122.266,123.1938,121.704,119.4082,118.3546,,
2022-04-05,123.672,122.373,123.0668,121.7829,119.7434,118.6615,,
2022-04-06,124.053,123.456,123.236,122.2115,120.078,119.0081,,
2022-04-07,124.003,123.4705,123.5452,122.6493,120.4058,119.3315,,
2022-04-08,124.6785,123.6675,123.8732,123.0466,120.7706,119.6922,,
2022-04-11,125.7725,124.1275,124.4358,123.4189,121.1826,120.0643,,
2022-04-12,125.759,124.764,124.8532,123.8971,121.5813,120.4453,,
2022-04-13,126.319,125.349,125.3064,124.2757,121.9963,120.837,,
2022-04-14,126.017,125.0835,125.7092,124.5983,122.3891,121.2082,,
2022-04-15,126.6845,125.8805,126.1104,125.0409,122.7622,121.5991,117.894,117.0582
2022-04-18,126.9995,126.24,126.3558,125.4634,123.1134,121.9568,118.0491,117.2088
2022-04-19,128.976,126.987,126.9992,125.908,123.5344,122.3284,118.2173,117.3647
2022-04-20,129.4085,127.459,127.6171,126.33,123.9458,122.6997,118.3929,117.5226
2022-04-21,128.7075,127.8035,128.1552,126.874,124.333,123.0771,118.5598,117.685
2022-04-22,129.112,127.7375,128.6407,127.2454,124.7215,123.4478,118.734,117.8478
2022-04-25,128.8705,127.523,129.0149,127.502,125.0963,123.7848,118.9076,118.0142
2022-04-26,128.228,127.0245,128.8653,127.5095,125.3841,124.0883,119.0749,118.1729
2022-04-27,128.593,126.95,128.7022,127.4077,125.6711,124.3425,119.2497,118.3405
2022-04-28,131.2565,128.3405,129.212,127.5151,126.0249,124.638,119.4704,118.5317
2022-04-29,130.954,129.316,129.5804,127.8308,126.3656,124.9634,119.6929,118.7428
2022-05-02,130.4805,129.613,129.9024,128.2488,126.5805,125.2674,119.9039,118.9487
2022-05-03,130.293,129.6985,130.3154,128.7836,126.82,125.5762,120.107,119.152
2022-05-04,130.387,128.622,130.6742,129.118,127.1072,125.8686,120.315,119.3443
